step, x1, x2, y, phi1, phi2, Ax, Bx, Ay, By, C, taken_time
46, -0.309590, 0.309590, 0.103216, 2.707511, 2.707511, -0.353000, 0.353000, 0.198071, 0.198071, 1.178097, 0.804488
47, -0.308283, 0.308283, 0.104083, 2.697509, 2.697509, -0.353000, 0.353000, 0.199536, 0.199536, 1.178097, 0.853940
48, -0.306691, 0.306691, 0.105142, 2.685496, 2.685496, -0.353000, 0.353000, 0.201247, 0.201247, 1.178097, 0.854349
49, -0.304814, 0.304814, 0.106392, 2.671568, 2.671568, -0.353000, 0.353000, 0.203198, 0.203198, 1.178097, 0.840033
50, -0.302654, 0.302654, 0.107836, 2.655835, 2.655835, -0.353000, 0.353000, 0.205379, 0.205379, 1.178097, 0.887163
51, -0.300211, 0.300211, 0.109474, 2.638418, 2.638418, -0.353000, 0.353000, 0.207781, 0.207781, 1.178097, 0.865889
52, -0.297487, 0.297487, 0.111306, 2.619450, 2.619450, -0.353000, 0.353000, 0.210393, 0.210393, 1.178097, 0.896994
53, -0.294487, 0.294487, 0.113333, 2.599075, 2.599075, -0.353000, 0.353000, 0.213203, 0.213203, 1.178097, 0.896106
54, -0.291213, 0.291213, 0.115555, 2.577442, 2.577442, -0.353000, 0.353000, 0.216198, 0.216198, 1.178097, 0.925661
55, -0.287672, 0.287672, 0.117969, 2.554708, 2.554708, -0.353000, 0.353000, 0.219364, 0.219364, 1.178097, 0.900864
56, -0.283872, 0.283872, 0.120574, 2.531032, 2.531032, -0.353000, 0.353000, 0.222685, 0.222685, 1.178097, 0.935766
57, -0.279820, 0.279820, 0.123367, 2.506579, 2.506579, -0.353000, 0.353000, 0.226145, 0.226145, 1.178097, 0.922441
58, -0.275529, 0.275529, 0.126342, 2.481511, 2.481511, -0.353000, 0.353000, 0.229727, 0.229727, 1.178097, 0.935266
59, -0.271012, 0.271012, 0.129494, 2.455991, 2.455991, -0.353000, 0.353000, 0.233414, 0.233414, 1.178097, 0.954417
60, -0.266285, 0.266285, 0.132815, 2.430182, 2.430182, -0.353000, 0.353000, 0.237186, 0.237186, 1.178097, 0.942329
61, -0.261365, 0.261365, 0.136294, 2.404240, 2.404240, -0.353000, 0.353000, 0.241023, 0.241023, 1.178097, 0.966729
62, -0.256275, 0.256275, 0.139920, 2.378319, 2.378319, -0.353000, 0.353000, 0.244905, 0.244905, 1.178097, 0.978239
63, -0.251036, 0.251036, 0.143678, 2.352565, 2.352565, -0.353000, 0.353000, 0.248811, 0.248811, 1.178097, 0.970420
64, -0.245676, 0.245676, 0.147553, 2.327122, 2.327122, -0.353000, 0.353000, 0.252720, 0.252720, 1.178097, 0.983415
65, -0.240222, 0.240222, 0.151524, 2.302121, 2.302121, -0.353000, 0.353000, 0.256610, 0.256610, 1.178097, 0.996501
66, -0.234707, 0.234707, 0.155571, 2.277690, 2.277690, -0.353000, 0.353000, 0.260459, 0.260459, 1.178097, 0.982805
67, -0.229163, 0.229163, 0.159669, 2.253948, 2.253948, -0.353000, 0.353000, 0.264244, 0.264244, 1.178097, 1.005218
68, -0.223626, 0.223626, 0.163793, 2.231005, 2.231005, -0.353000, 0.353000, 0.267944, 0.267944, 1.178097, 0.993171
69, -0.218133, 0.218133, 0.167914, 2.208962, 2.208962, -0.353000, 0.353000, 0.271536, 0.271536, 1.178097, 1.009517
