step,x1,x2,y,phi1,phi2,Ax,Bx,Ay,By,C,calc_time,anim_time
29,-0.288330,0.288330,0.117519,2.558882,2.558882,-0.353000,0.353000,0.212683,0.212683,1.178097,0.884334,0.290000
30,-0.291823,0.291823,0.115140,2.581430,2.581430,-0.353000,0.353000,0.209907,0.209907,1.178097,0.896234,0.300000
31,-0.295048,0.295048,0.112953,2.602847,2.602847,-0.353000,0.353000,0.207332,0.207332,1.178097,0.870208,0.310000
32,-0.297999,0.297999,0.110961,2.622979,2.622979,-0.353000,0.353000,0.204969,0.204969,1.178097,0.879757,0.320000
33,-0.300672,0.300672,0.109164,2.641678,2.641678,-0.353000,0.353000,0.202829,0.202829,1.178097,0.851050,0.330000
34,-0.303064,0.303064,0.107561,2.658801,2.658801,-0.353000,0.353000,0.200921,0.200921,1.178097,0.861077,0.340000
35,-0.305173,0.305173,0.106153,2.674217,2.674217,-0.353000,0.353000,0.199253,0.199253,1.178097,0.823755,0.350000
36,-0.306999,0.306999,0.104937,2.687807,2.687807,-0.353000,0.353000,0.197834,0.197834,1.178097,0.832548,0.360000
37,-0.308539,0.308539,0.103913,2.699464,2.699464,-0.353000,0.353000,0.196669,0.196669,1.178097,0.834369,0.370000
38,-0.309795,0.309795,0.103080,2.709094,2.709094,-0.353000,0.353000,0.195763,0.195763,1.178097,0.792356,0.380000
39,-0.310766,0.310766,0.102437,2.716621,2.716621,-0.353000,0.353000,0.195120,0.195120,1.178097,0.793633,0.390000
40,-0.311451,0.311451,0.101983,2.721982,2.721982,-0.353000,0.353000,0.194742,0.194742,1.178097,0.790349,0.400000
41,-0.311853,0.311853,0.101718,2.725135,2.725135,-0.353000,0.353000,0.194633,0.194633,1.178097,0.769428,0.410000
42,-0.311969,0.311969,0.101641,2.726054,2.726054,-0.353000,0.353000,0.194791,0.194791,1.178097,0.707285,0.420000
43,-0.311801,0.311801,0.101752,2.724731,2.724731,-0.353000,0.353000,0.195216,0.195216,1.178097,0.713532,0.430000
44,-0.311349,0.311349,0.102051,2.721177,2.721177,-0.353000,0.353000,0.195907,0.195907,1.178097,0.777481,0.440000
45,-0.310612,0.310612,0.102539,2.715422,2.715422,-0.353000,0.353000,0.196860,0.196860,1.178097,0.787582,0.450000
46,-0.309590,0.309590,0.103216,2.707511,2.707511,-0.353000,0.353000,0.198071,0.198071,1.178097,0.787201,0.460000
47,-0.308283,0.308283,0.104083,2.697509,2.697509,-0.353000,0.353000,0.199536,0.199536,1.178097,0.829367,0.470000
48,-0.306691,0.306691,0.105142,2.685496,2.685496,-0.353000,0.353000,0.201247,0.201247,1.178097,0.828630,0.480000
49,-0.304814,0.304814,0.106392,2.671568,2.671568,-0.353000,0.353000,0.203198,0.203198,1.178097,0.820429,0.490000
50,-0.302654,0.302654,0.107836,2.655835,2.655835,-0.353000,0.353000,0.205379,0.205379,1.178097,0.856776,0.500000
51,-0.300211,0.300211,0.109474,2.638418,2.638418,-0.353000,0.353000,0.207781,0.207781,1.178097,0.846584,0.510000
52,-0.297487,0.297487,0.111306,2.619450,2.619450,-0.353000,0.353000,0.210393,0.210393,1.178097,0.877285,0.520000
53,-0.294487,0.294487,0.113333,2.599075,2.599075,-0.353000,0.353000,0.213203,0.213203,1.178097,0.871168,0.530000
54,-0.291213,0.291213,0.115555,2.577442,2.577442,-0.353000,0.353000,0.216198,0.216198,1.178097,0.899574,0.540000
55,-0.287672,0.287672,0.117969,2.554708,2.554708,-0.353000,0.353000,0.219364,0.219364,1.178097,0.888192,0.550000
56,-0.283872,0.283872,0.120574,2.531032,2.531032,-0.353000,0.353000,0.222685,0.222685,1.178097,0.914053,0.560000
57,-0.279820,0.279820,0.123367,2.506579,2.506579,-0.353000,0.353000,0.226145,0.226145,1.178097,0.901064,0.570000
58,-0.275529,0.275529,0.126342,2.481511,2.481511,-0.353000,0.353000,0.229727,0.229727,1.178097,0.920408,0.580000
59,-0.271012,0.271012,0.129494,2.455991,2.455991,-0.353000,0.353000,0.233414,0.233414,1.178097,0.941114,0.590000
60,-0.266285,0.266285,0.132815,2.430182,2.430182,-0.353000,0.353000,0.237186,0.237186,1.178097,0.926781,0.600000
61,-0.261365,0.261365,0.136294,2.404240,2.404240,-0.353000,0.353000,0.241023,0.241023,1.178097,0.947694,0.610000
62,-0.256275,0.256275,0.139920,2.378319,2.378319,-0.353000,0.353000,0.244905,0.244905,1.178097,0.963398,0.620000
63,-0.251036,0.251036,0.143678,2.352565,2.352565,-0.353000,0.353000,0.248811,0.248811,1.178097,0.950421,0.630000
64,-0.245676,0.245676,0.147553,2.327122,2.327122,-0.353000,0.353000,0.252720,0.252720,1.178097,0.969200,0.640000
65,-0.240222,0.240222,0.151524,2.302121,2.302121,-0.353000,0.353000,0.256610,0.256610,1.178097,0.983219,0.650000
66,-0.234707,0.234707,0.155571,2.277690,2.277690,-0.353000,0.353000,0.260459,0.260459,1.178097,0.972017,0.660000
67,-0.229163,0.229163,0.159669,2.253948,2.253948,-0.353000,0.353000,0.264244,0.264244,1.178097,0.988566,0.670000
68,-0.223626,0.223626,0.163793,2.231005,2.231005,-0.353000,0.353000,0.267944,0.267944,1.178097,0.976208,0.680000
69,-0.218133,0.218133,0.167914,2.208962,2.208962,-0.353000,0.353000,0.271536,0.271536,1.178097,0.992766,0.690000
70,-0.212724,0.212724,0.172001,2.187914,2.187914,-0.353000,0.353000,0.275000,0.275000,1.178097,1.010829,0.700000
71,-0.207439,0.207439,0.176024,2.167946,2.167946,-0.353000,0.353000,0.278313,0.278313,1.178097,0.999602,0.710000
72,-0.202317,0.202317,0.179947,2.149136,2.149136,-0.353000,0.353000,0.281455,0.281455,1.178097,1.017978,0.720000
73,-0.197401,0.197401,0.183738,2.131554,2.131554,-0.353000,0.353000,0.284407,0.284407,1.178097,1.007065,0.730000
74,-0.192730,0.192730,0.187361,2.115262,2.115262,-0.353000,0.353000,0.287150,0.287150,1.178097,1.027605,0.740000
75,-0.188346,0.188346,0.190782,2.100317,2.100317,-0.353000,0.353000,0.289666,0.289666,1.178097,1.016376,0.750000
76,-0.184285,0.184285,0.193967,2.086767,2.086767,-0.353000,0.353000,0.291940,0.291940,1.178097,1.037114,0.760000
77,-0.180585,0.180585,0.196883,2.074655,2.074655,-0.353000,0.353000,0.293955,0.293955,1.178097,1.029456,0.770000
