step,x1,x2,y,phi1,phi2,Ax,Bx,Ay,By,C,calc_time,anim_time
215,-0.310276,0.310276,0.102761,2.712814,2.712814,-0.353000,0.353000,0.197267,0.197267,1.178097,0.851598,2.150000
216,-0.309151,0.309151,0.103507,2.704140,2.704140,-0.353000,0.353000,0.198571,0.198571,1.178097,0.792085,2.160000
217,-0.307741,0.307741,0.104443,2.693403,2.693403,-0.353000,0.353000,0.200125,0.200125,1.178097,0.835761,2.170000
218,-0.306047,0.306047,0.105571,2.680688,2.680688,-0.353000,0.353000,0.201924,0.201924,1.178097,0.830639,2.180000
219,-0.304067,0.304067,0.106891,2.666096,2.666096,-0.353000,0.353000,0.203959,0.203959,1.178097,0.861224,2.190000
220,-0.301805,0.301805,0.108404,2.649740,2.649740,-0.353000,0.353000,0.206221,0.206221,1.178097,0.858623,2.200000
221,-0.299261,0.299261,0.110112,2.631748,2.631748,-0.353000,0.353000,0.208700,0.208700,1.178097,0.849066,2.210000
222,-0.296437,0.296437,0.112015,2.612256,2.612256,-0.353000,0.353000,0.211385,0.211385,1.178097,0.880206,2.220000
223,-0.293337,0.293337,0.114112,2.591409,2.591409,-0.353000,0.353000,0.214263,0.214263,1.178097,0.870620,2.230000
224,-0.289966,0.289966,0.116403,2.569361,2.569361,-0.353000,0.353000,0.217321,0.217321,1.178097,0.929161,2.240000
225,-0.286331,0.286331,0.118887,2.546268,2.546268,-0.353000,0.353000,0.220544,0.220544,1.178097,0.996746,2.250000
226,-0.282439,0.282439,0.121560,2.522293,2.522293,-0.353000,0.353000,0.223918,0.223918,1.178097,0.927036,2.260000
227,-0.278300,0.278300,0.124419,2.497599,2.497599,-0.353000,0.353000,0.227424,0.227424,1.178097,0.924332,2.270000
228,-0.273925,0.273925,0.127459,2.472350,2.472350,-0.353000,0.353000,0.231046,0.231046,1.178097,0.920782,2.280000
229,-0.269331,0.269331,0.130673,2.446707,2.446707,-0.353000,0.353000,0.234766,0.234766,1.178097,0.958984,2.290000
230,-0.264532,0.264532,0.134052,2.420832,2.420832,-0.353000,0.353000,0.238563,0.238563,1.178097,0.949692,2.300000
231,-0.259548,0.259548,0.137586,2.394880,2.394880,-0.353000,0.353000,0.242419,0.242419,1.178097,0.937211,2.310000
232,-0.254401,0.254401,0.141261,2.369003,2.369003,-0.353000,0.353000,0.246312,0.246312,1.178097,0.961668,2.320000
233,-0.249115,0.249115,0.145063,2.343345,2.343345,-0.353000,0.353000,0.250222,0.250222,1.178097,0.942590,2.330000
234,-0.243718,0.243718,0.148975,2.318046,2.318046,-0.353000,0.353000,0.254127,0.254127,1.178097,0.959257,2.340000
235,-0.238238,0.238238,0.152976,2.293237,2.293237,-0.353000,0.353000,0.258004,0.258004,1.178097,0.975349,2.350000
236,-0.232709,0.232709,0.157044,2.269042,2.269042,-0.353000,0.353000,0.261833,0.261833,1.178097,0.968253,2.360000
237,-0.227163,0.227163,0.161155,2.245575,2.245575,-0.353000,0.353000,0.265590,0.265590,1.178097,0.979500,2.370000
238,-0.221638,0.221638,0.165281,2.222945,2.222945,-0.353000,0.353000,0.269253,0.269253,1.178097,1.001245,2.380000
239,-0.216171,0.216171,0.169394,2.201251,2.201251,-0.353000,0.353000,0.272802,0.272802,1.178097,0.983011,2.390000
240,-0.210801,0.210801,0.173462,2.180583,2.180583,-0.353000,0.353000,0.276213,0.276213,1.178097,1.000595,2.400000
241,-0.205570,0.205570,0.177452,2.161024,2.161024,-0.353000,0.353000,0.279467,0.279467,1.178097,0.990939,2.410000
242,-0.200518,0.200518,0.181332,2.142649,2.142649,-0.353000,0.353000,0.282543,0.282543,1.178097,1.014606,2.420000
243,-0.195686,0.195686,0.185066,2.125526,2.125526,-0.353000,0.353000,0.285421,0.285421,1.178097,1.006831,2.430000
244,-0.191114,0.191114,0.188620,2.109714,2.109714,-0.353000,0.353000,0.288085,0.288085,1.178097,1.017641,2.440000
245,-0.186842,0.186842,0.191960,2.095267,2.095267,-0.353000,0.353000,0.290515,0.290515,1.178097,1.015263,2.450000
246,-0.182907,0.182907,0.195051,2.082231,2.082231,-0.353000,0.353000,0.292697,0.292697,1.178097,1.081294,2.460000
247,-0.179345,0.179345,0.197863,2.070646,2.070646,-0.353000,0.353000,0.294617,0.294617,1.178097,1.021571,2.470000
248,-0.176189,0.176189,0.200364,2.060549,2.060549,-0.353000,0.353000,0.296261,0.296261,1.178097,1.032455,2.480000
249,-0.173469,0.173469,0.202527,2.051968,2.051968,-0.353000,0.353000,0.297619,0.297619,1.178097,1.049506,2.490000
250,-0.171210,0.171210,0.204329,2.044926,2.044926,-0.353000,0.353000,0.298682,0.298682,1.178097,1.074686,2.500000
